stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Users\mayco\Desktop\Jogos de Cartas\Debug\allegro5.cfg r
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00000] Also searching D:\Users\mayco\Desktop\Jogos de Cartas\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
dtor     D               dtor.c:196  _al_register_destructor          [   0.00034] added dtor for timer 01330B08, func 0FB9169A
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00055] Also searching D:\Users\mayco\Desktop\Jogos de Cartas\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00142] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00149] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00895] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.05492] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.05555] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.05557] al_display=01364D10
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.05559] al_display->vt=013B2ED0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06672] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.06678] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06682] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06686] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06690] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06694] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06697] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06699] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06702] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06703] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06706] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06708] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
